Services,Doctors,Beds
MEDICINĂ INTERNĂ I,65,10
CARDIOLOGIE I / EKG,35,6
CARDIOLOGIE II/EKG,35,6
TERAPIE INTENSIVĂ CORONARIENI,10,1
CARDIOLOGIE INTERVENȚIONALĂ ,10,0
LABORATOR ANGIOGRAFIE ȘI CARDIOLOGIE INTERVENȚIONALĂ,0,0
NEUROLOGIE,25,4
CHIRURGIE GENERALĂ I,35,8
CHIRURGIE GENERALĂ II,30,5
CHIRURGIE MAXILOFACIALĂ,5,1
CHIRURGIE VASCULARĂ,10,3
CHIRURGIE GENERALĂ III,30,7
CHIRURGIE TORACICĂ,10,2
"CHIRURGIE PLASTICĂ, MICROCHIRURGIE RECONSTRUCTIVĂ ",34,3
"CHIRURGIE PLASTICĂ, MICROCHIRURGIE RECONSTRUCTIVĂ, SALA DE GIMNASTICĂ ",0,0
NEUROCHIRURGIE,30,4
ORTOPEDIE ȘI TRAUMATOLOGIE,70,11
"ORTOPEDIE ȘI TRAUMATOLOGIE, SALA GIMNATICĂ",0,0
ATI,20,8
UNITATE DE TRANSFUZIE SANGUINĂ,0,0
GASTROENTEROLOGIE,30,3
ENDOSCOPIE EXPLORATORIE,0,0
"DIABET ZAHARAT, NUTRIȚIE ȘI BOLI METABOLICE",25,2
HEMATOLOGIE,25,4
BLOC OPERATOR I,0,0
STERILIZARE,0,0
LABORATOR ANALIZE MEDICALE,0,8
LABORATOR RADIOLOGIE ȘI IMAGISTICĂ MEDICALĂ,0,10
HISTOPATOLOGIE,0,3
CITOLOGIE,0,1
PROSECTURĂ,0,0
SMURD,0,13
RADIOLOGIE,0,0
BIROU INTERNĂRI,0,0
CABINET PSIHOLOGIC,0,0
FARMACIE,0,0
PREVENIRE ȘI CONTROL INFECȚII NOZOCOMIALE,0,1
DIETETICĂ,0,0
MEDICINĂ INTERNĂ II,40,3
GERIATRIE ȘI GERONTOLOGIE,5,1
ORL,30,6
ORL EXPLORARI FUNCTIONALE,0,0
ONCOLOGIE MEDICALĂ,50,3
OFTALMOLOGIE,15,4
OPERAȚII OFTALMOLOGIE,0,0
ATI (ORL ȘI OFTALMOLOGIE),5,1
NEFROLOGIE,0,1
HEMODIALIZĂ,8,1
CABINET ONCOLOGIE,0,2
FARMACIE/PUNCT DE LUCRU,0,0
RECUPERARE MEDICINĂ FIZICĂ ȘI BALNEOLOGIE I,25,2
BAZA DE TRATAMENT,0,0
ENDOCRINOLOGIE,10,3
REUMATOLOGIE,25,2
DERMATOVENEROLOGIE,15,6
FARMACIE/PUNCT DE LUCRU,0,0
MEDICINĂ INTERNĂ III,55,7
ALERGOLOGIE ȘI IMUNOLOGIE,5,1
EXPLORĂRI FUNCȚIONALE,0,0
UROLOGIE,40,5
TRANSPLANT RENAL,5,1
ATI UROLOGIE,5,0
BLOC OPERATOR II,5,0
RECUPERARE MEDICINĂ FIZICĂ ȘI BALNEOLOGIE II,0,0
MEDICINA MUNCII,0,2
"DIABET ZAHARAT, NUTRIȚIE ȘI BOLI METABOLICE",0,3
FARMACIE/PUNCT DE LUCRU,0,0
PLANIFICARE FAMILIALĂ,0,2
SERVICIUL JUDEȚEAN DE MEDICINĂ LEGALĂ,0,8
